年级	书名	学科	册别	学段	出版社	版本	def_page_index	内容起始页	ISBN	价格	页数
七年级	思想品德七年级上册	思想品德	上册	初中	江苏人民出版社	08版	2	8	978-7-214-03974-3	7.64	134
七年级	思想品德七年级下册	思想品德	下册	初中	江苏人民出版社	08版	2	8	978-7-214-04161-6	7.19	124
七年级	生物七年级下册（2012版）	生物	下册	初中	江苏科学技术出版社	08版	2	8	0	0	134
七年级	语文七年级上册（2011年印刷）	语文	上册	初中	江苏教育出版社	08版	2	22	978-7-5343-4133-5	5.22	258
七年级	语文七年级下册（2011年印刷）	语文	下册	初中	江苏教育出版社	08版	2	22	978-7-5343-4394-0	6.09	310
七年级	初中英语——预备课程	英语	全一册	初中	译林出版社	08版	2	4	978-7-5447-4056-2	5.03	86
七年级	生物七年级下册（2012版）	生物	下册	初中	江苏科学技术出版社	08版	2	8	0	0	134
七年级	英语七年级下册（2014春）	英语	下册	初中	译林出版社	08版	2	4	978-7-5447-3327-4	0	146
七年级	生物七年级上册（2014版）	生物	上册	初中	江苏科学技术出版社	08版	2	10	978-7-5345-9335-2	0	142
七年级	数学七年级上册（2014秋）	数学	上册	初中	江苏科学技术出版社	08版	2	6	978-7-5345-9338-3	0	190
七年级	英语七年级上册（2014秋）	英语	上册	初中	译林出版社	08版	2	4	0	0	148
七年级	初中信息技术7年级（2014秋）	信息技术	全一册	初中	江苏科学技术出版社	08版	2	10	978-7-5537-1045-7	0	146
八年级	语文八年级上册	语文	上册	初中	江苏教育出版社	08版	2	20	978-7-5343-4613-2	5.89	296
八年级	语文八年级下册	语文	下册	初中	江苏教育出版社	08版	2	20	978-7-5343-4843-3	5.82	292
八年级	数学八年级下册	数学	下册	初中	江苏科学技术出版社	08版	2	8	978-7-5345-4797-3	10.44	186
八年级	物理八年级下册	物理	下册	初中	江苏科学技术出版社	08版	2	10	0	0	118
八年级	生物八年级上册	生物	上册	初中	江苏教育出版社	08版	2	12	0	0	116
八年级	生物八年级下册	生物	下册	初中	江苏教育出版社	08版	2	12	0	0	126
八年级	生物八年级上册	生物	上册	初中	江苏科学技术出版社	08版	2	8	0	0	144
八年级	物理八年级上册	物理	上册	初中	江苏科学技术出版社	08版	2	10	2	2	138
八年级	牛津初中英语八年级上册	英语	上册	初中	译林出版社	08版	2	4	0	0	142
八年级	英语8B	英语	下册	初中	译林出版社	08版	2	4	978-7-80657-840-7	8.06	142
八年级	生物八年级下册	生物	下册	初中	江苏科学技术出版社	08版	2	8	978-7-5345-4791-1	7.19	124
八年级	数学八年级下册	数学	下册	初中	江苏科学技术出版社	08版	2	8	978-7-5345-4797-3	10.44	186
八年级	数学八年级上册	数学	上册	初中	江苏科学技术出版社	08版	2	8	978-7-5345-4905-2	11.31	200
八年级	思想品德八年级上册	思想品德	上册	初中	江苏人民出版社	08版	2	8	978-7-214-04419-8	7.63	134
八年级	思想品德八年级下册	思想品德	下册	初中	江苏人民出版社	08版	2	8	978-7-214-04432-7	8.28	144
八年级	物理八年级下册（2012版）	物理	下册	初中	江苏科学技术出版社	08版	2	10	0	0	118
八年级	语文八年级上册（2011年印刷）	语文	上册	初中	江苏教育出版社	08版	2	22	978-7-5343-4613-2	5.89	298
八年级	语文八年级下册（2011年印刷）	语文	下册	初中	江苏教育出版社	08版	2	22	978-7-5343-4843-3	5.82	294
八年级	生物八年级上册（2013版）	生物	上册	初中	江苏科学技术出版社	08版	2	9	978-7-5537-1186-7	0	146
八年级	音乐八年级上册（简谱）	音乐	上册	初中	江苏少年儿童出版社	08版	2	8	978-7-5346-7369-6	0	70
八年级	音乐八年级上册（线谱）	音乐	上册	初中	江苏少年儿童出版社	08版	2	8	0	0	70
八年级	英语八年级上册（2013版）	英语	上册	初中	译林出版社	08版	2	4	978-7-5447-3855-2	0	146
八年级	数学八年级上册（2013版）	数学	上册	初中	江苏科学技术出版社	08版	2	6	0	0	182
八年级	美术八年级上册	美术	上册	初中	江苏少年儿童出版社	08版	2	6	978-7-5346-7372-6	0	54
八年级	物理八年级下册（2012版）	物理	下册	初中	江苏科学技术出版社	08版	2	10	978-7-5345-9336-9	0	118
八年级	生物八年级下册（2014版）	生物	下册	初中	江苏科学技术出版社	08版	2	8	978-7-5537-1187-4	0	128
八年级	数学八年级下册（2014春）	数学	下册	初中	江苏科学技术出版社	08版	2	8	978-7-5537-2273-3	0	182
八年级	英语八年级下册（2014春）	英语	下册	初中	译林出版社	08版	2	4	978-7-5447-4549-9	0	158
八年级	美术八年级下册（2014春）	美术	下册	初中	江苏少年儿童出版社	08版	2	6	978-7-5346-7805-9	0	54
八年级	英语八年级上册(2014)	英语	上册	初中	译林出版社	08版	2	4	0	0	146
